,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 0.157, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",122.20(15.91),84.45(2.02),62.82(2.42),25.42(2.23),65.88(1.22),41.31(0.69)
"{'T': 8, 'gamma': 0.157, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",297.20(27.87),62.19(3.55),50.19(1.94),12.80(1.64),51.95(3.07),41.68(0.23)
"{'T': 8, 'gamma': 0.157, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",90.00(1.22),88.55(0.16),nan(nan),nan(nan),49.71(0.09),41.75(0.59)
"{'T': 8, 'gamma': 0.157, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",86.00(0.00),89.06(0.00),92.00(0.25),65.37(0.77),50.00(0.00),42.34(0.28)
"{'T': 8, 'gamma': 0.157, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",16.80(0.45),97.86(0.06),96.77(0.11),94.42(0.21),91.76(0.26),41.81(0.06)
"{'T': 8, 'gamma': 0.157, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",88.20(0.45),88.78(0.06),nan(nan),nan(nan),49.84(0.03),41.80(0.34)
"{'T': 8, 'gamma': 0.157, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",86.00(0.00),89.06(0.00),33.24(1.76),7.56(0.20),50.00(0.00),41.73(0.27)
"{'T': 8, 'gamma': 0.157, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",14.20(0.45),98.19(0.06),94.63(0.29),92.17(0.38),93.99(0.24),41.71(0.53)
"{'T': 8, 'gamma': 0.157, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",88.20(0.45),88.78(0.06),nan(nan),nan(nan),49.84(0.03),41.61(0.55)
"{'T': 8, 'gamma': 0.157, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",414.60(13.39),47.25(1.70),21.00(1.20),6.74(0.10),28.36(0.71),41.66(1.26)
"{'T': 8, 'gamma': 0.157, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",148.60(53.54),81.09(6.81),58.46(0.95),23.14(3.97),60.83(3.46),42.14(0.65)
"{'T': 8, 'gamma': 0.157, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",89.60(2.07),88.60(0.26),nan(nan),nan(nan),49.74(0.15),41.72(0.82)
"{'T': 8, 'gamma': 0.157, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",86.00(0.00),89.06(0.00),nan(nan),nan(nan),50.00(0.00),41.26(0.19)
"{'T': 8, 'gamma': 0.157, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",86.00(0.00),89.06(0.00),nan(nan),nan(nan),50.00(0.00),41.66(0.55)
"{'T': 8, 'gamma': 0.157, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",86.00(0.00),89.06(0.00),nan(nan),nan(nan),50.00(0.00),41.89(0.30)
"{'T': 8, 'gamma': 0.157, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",86.00(0.00),89.06(0.00),nan(nan),nan(nan),50.00(0.00),42.09(0.79)
