,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 15.0, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 1}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),49.99(0.00),6.57(0.23)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",6755.40(19.79),64.48(0.10),48.53(1.46),62.77(1.12),52.07(0.41),6.33(0.27)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",6745.60(21.89),64.53(0.12),48.59(0.88),62.77(0.51),52.05(0.35),6.40(0.14)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",12328.60(1.52),35.18(0.01),nan(nan),nan(nan),50.01(0.01),6.35(0.18)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",9217.20(84.45),51.54(0.44),48.71(0.29),62.71(0.19),49.63(0.46),6.11(0.42)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",9225.20(38.77),51.50(0.20),48.85(0.43),62.81(0.43),49.58(0.41),6.48(0.20)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",12329.20(1.48),35.18(0.01),nan(nan),nan(nan),50.00(0.01),6.47(0.20)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",9660.40(85.93),49.21(0.45),50.02(0.19),63.68(0.26),49.84(0.14),6.33(0.20)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",8886.80(135.08),53.28(0.71),49.55(0.30),63.48(0.33),50.16(0.34),6.35(0.12)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",12329.60(1.52),35.18(0.01),nan(nan),nan(nan),50.00(0.01),6.37(0.20)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",8669.00(478.63),54.42(2.52),54.76(1.59),65.87(1.03),53.01(0.65),6.26(0.18)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",10145.60(1831.85),46.66(9.63),53.55(2.51),65.24(1.52),51.44(1.49),6.07(0.70)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",12330.00(0.71),35.17(0.00),nan(nan),nan(nan),50.00(0.00),5.65(0.45)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",8329.40(185.45),56.21(0.98),53.11(1.08),65.26(0.70),52.68(0.44),6.23(0.07)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",8612.20(1140.92),54.72(6.00),51.30(1.78),64.05(1.12),51.97(0.72),6.33(0.18)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",12330.00(0.71),35.17(0.00),nan(nan),nan(nan),50.00(0.00),6.27(0.17)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",9251.80(58.49),51.36(0.31),49.04(0.18),63.08(0.11),49.69(0.31),6.44(0.10)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",9249.40(45.42),51.37(0.24),48.85(0.28),63.04(0.21),49.65(0.21),5.53(0.50)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",12330.80(1.92),35.17(0.01),nan(nan),nan(nan),50.00(0.01),6.27(0.22)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),50.00(0.00),6.22(0.54)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),50.00(0.00),5.85(0.49)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),50.00(0.00),6.32(0.14)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),50.00(0.00),6.26(0.18)
"{'T': 16, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),50.00(0.00),6.34(0.18)
