,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 1}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",387.20(1.10),43.88(0.16),57.71(0.94),57.20(0.54),48.92(0.13),0.16(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",386.80(0.45),43.94(0.06),57.27(0.57),56.65(0.63),48.97(0.04),0.16(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",310.00(2.24),55.07(0.32),nan(nan),nan(nan),49.71(0.30),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",376.40(7.09),45.45(1.03),56.26(2.18),54.95(1.47),50.03(0.97),0.16(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",371.20(7.05),46.20(1.02),54.52(0.89),53.25(0.92),49.77(0.89),0.16(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",309.60(1.95),55.13(0.28),nan(nan),nan(nan),49.79(0.26),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",339.40(12.78),50.81(1.85),49.78(2.26),49.45(1.41),50.00(1.67),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",354.20(10.57),48.67(1.53),51.99(0.59),51.76(1.34),50.23(1.15),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",306.40(0.55),55.59(0.08),nan(nan),nan(nan),50.24(0.09),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",307.60(1.67),55.42(0.24),nan(nan),nan(nan),50.17(0.25),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",308.00(1.22),55.36(0.18),nan(nan),nan(nan),50.11(0.19),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",308.00(2.00),55.36(0.29),nan(nan),nan(nan),49.95(0.32),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",307.60(1.67),55.42(0.24),nan(nan),nan(nan),50.17(0.25),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",307.80(1.10),55.39(0.16),nan(nan),nan(nan),50.14(0.14),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",308.00(2.00),55.36(0.29),nan(nan),nan(nan),49.95(0.32),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",305.20(3.35),55.77(0.49),nan(nan),nan(nan),50.58(0.50),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",304.20(2.59),55.91(0.38),nan(nan),nan(nan),50.75(0.41),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",309.00(1.41),55.22(0.20),nan(nan),nan(nan),49.79(0.20),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.21(0.05)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 1}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",387.40(1.14),43.86(0.17),57.21(1.16),56.91(1.45),48.89(0.14),0.16(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",387.00(0.71),43.91(0.10),57.21(0.65),57.28(0.48),48.94(0.09),0.16(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",310.60(1.34),54.99(0.19),nan(nan),nan(nan),49.63(0.16),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",371.20(19.36),46.20(2.81),55.30(2.24),52.96(1.37),50.54(2.29),0.16(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",361.20(10.71),47.65(1.55),53.95(0.74),51.46(1.04),50.76(1.18),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",310.60(2.30),54.99(0.33),nan(nan),nan(nan),49.64(0.32),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",333.80(7.60),51.62(1.10),49.55(0.90),48.95(0.74),50.55(1.04),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",352.40(6.02),48.93(0.87),52.45(1.30),51.92(1.39),50.46(0.74),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",306.40(0.55),55.59(0.08),nan(nan),nan(nan),50.24(0.09),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",311.60(2.41),54.84(0.35),nan(nan),nan(nan),49.59(0.32),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",311.00(2.12),54.93(0.31),nan(nan),nan(nan),49.65(0.27),0.16(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",307.60(1.34),55.42(0.19),nan(nan),nan(nan),50.01(0.21),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",310.60(1.52),54.99(0.22),nan(nan),nan(nan),49.72(0.19),0.16(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",310.40(1.52),55.01(0.22),nan(nan),nan(nan),49.76(0.17),0.16(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",307.60(1.34),55.42(0.19),nan(nan),nan(nan),50.01(0.21),0.17(0.01)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",304.80(2.49),55.83(0.36),nan(nan),nan(nan),50.65(0.36),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",304.60(3.21),55.86(0.47),nan(nan),nan(nan),50.68(0.48),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",308.80(0.84),55.25(0.12),nan(nan),nan(nan),49.81(0.11),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 16, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
