,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",368.00(16.49),52.08(2.15),48.56(1.75),35.35(1.02),49.11(2.17),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",272.20(3.35),64.56(0.44),nan(nan),nan(nan),50.05(0.36),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",414.00(4.64),46.09(0.60),52.42(0.40),40.46(1.10),50.24(0.59),0.17(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",368.20(15.11),52.06(1.97),48.67(1.78),37.35(1.85),48.91(1.42),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",270.40(1.67),64.79(0.22),nan(nan),nan(nan),50.09(0.24),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",273.80(2.95),64.35(0.38),nan(nan),nan(nan),49.90(0.16),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",273.20(3.56),64.43(0.46),nan(nan),nan(nan),50.02(0.13),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",269.00(1.22),64.97(0.16),nan(nan),nan(nan),50.00(0.19),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",273.20(2.86),64.43(0.37),nan(nan),nan(nan),49.93(0.11),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",274.80(4.15),64.22(0.54),nan(nan),nan(nan),49.87(0.10),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",269.00(1.22),64.97(0.16),nan(nan),nan(nan),50.00(0.19),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",288.60(31.48),62.42(4.10),51.93(nan),37.12(nan),50.59(1.25),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",289.80(40.01),62.27(5.21),50.37(nan),35.97(nan),50.26(0.08),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",269.20(1.30),64.95(0.17),nan(nan),nan(nan),50.04(0.19),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",269.20(0.45),64.95(0.06),nan(nan),nan(nan),49.95(0.08),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",269.20(0.45),64.95(0.06),nan(nan),nan(nan),49.95(0.08),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",269.20(0.45),64.95(0.06),nan(nan),nan(nan),49.95(0.08),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",269.20(0.45),64.95(0.06),nan(nan),nan(nan),49.95(0.08),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",269.20(0.45),64.95(0.06),nan(nan),nan(nan),49.95(0.08),0.17(0.00)
