,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",519.20(78.56),58.23(6.32),48.02(0.70),73.95(0.39),49.57(1.24),0.33(0.01)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",942.60(0.55),24.17(0.04),nan(nan),nan(nan),50.14(0.11),0.33(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",319.20(15.37),74.32(1.24),49.02(1.40),74.05(1.09),50.26(0.19),0.33(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",303.00(2.00),75.62(0.16),47.26(0.43),72.48(0.17),50.23(0.09),0.33(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",944.00(0.71),24.05(0.06),nan(nan),nan(nan),50.11(0.09),0.33(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",304.80(8.96),75.48(0.72),48.62(1.47),73.83(0.99),50.70(0.35),0.33(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",303.40(1.14),75.59(0.09),47.39(0.53),72.67(0.20),50.31(0.09),0.33(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",944.00(0.71),24.05(0.06),nan(nan),nan(nan),50.11(0.09),0.33(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",540.80(29.12),56.49(2.34),50.94(2.62),75.92(1.33),51.17(2.70),0.33(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",537.20(29.81),56.78(2.40),50.79(2.22),75.69(1.23),51.04(2.46),0.33(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 1}",942.60(1.82),24.17(0.15),nan(nan),nan(nan),50.23(0.10),0.36(0.07)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",538.80(9.58),56.65(0.77),50.65(0.91),75.51(0.64),51.09(0.75),0.32(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",538.00(28.52),56.72(2.29),50.36(1.29),75.38(0.65),51.11(1.78),0.32(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",941.60(2.30),24.25(0.19),nan(nan),nan(nan),50.15(0.19),0.33(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",722.20(18.82),41.90(1.51),51.30(0.45),76.11(0.28),50.19(0.78),0.32(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",509.80(78.87),58.99(6.35),47.90(0.78),73.79(0.39),49.37(1.06),0.32(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",945.00(1.41),23.97(0.11),nan(nan),nan(nan),49.83(0.19),0.32(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",631.00(8.49),49.24(0.68),49.49(1.24),74.80(0.45),49.75(1.15),0.32(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",799.20(154.86),35.70(12.46),50.28(1.62),75.80(1.12),50.12(0.32),0.32(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",942.60(1.14),24.17(0.09),nan(nan),nan(nan),50.07(0.06),0.33(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",300.60(0.89),75.82(0.07),46.36(0.41),72.42(0.19),49.87(0.12),0.32(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",301.00(0.00),75.78(0.00),46.37(0.19),72.42(0.10),49.83(0.05),0.32(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",942.20(1.30),24.20(0.10),nan(nan),nan(nan),50.14(0.09),0.33(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",538.60(9.81),56.67(0.79),50.67(0.89),75.52(0.62),51.13(0.70),0.32(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",540.60(27.12),56.51(2.18),50.28(1.27),75.37(0.58),50.93(1.71),0.32(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",943.20(1.92),24.12(0.15),nan(nan),nan(nan),50.06(0.16),0.33(0.00)
"{'T': 16, 'gamma': 7.143, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",727.20(15.06),41.50(1.21),50.80(0.56),75.70(0.33),49.64(0.82),0.32(0.00)
