,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",581.80(5.36),46.87(0.49),40.75(1.31),44.06(0.73),46.78(0.49),6.15(0.09)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",565.40(4.45),48.37(0.41),34.97(0.44),41.24(0.20),48.25(0.41),30.88(0.06)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",560.80(3.96),48.79(0.36),34.90(0.50),41.26(0.27),48.67(0.36),32.32(0.50)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",562.60(4.28),48.62(0.39),36.34(0.28),41.74(0.21),48.51(0.39),32.22(0.49)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",564.00(3.46),48.49(0.32),37.49(0.26),42.18(0.16),48.38(0.32),32.23(0.55)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",566.40(5.32),48.27(0.49),38.93(0.36),42.73(0.20),48.16(0.49),32.52(0.81)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",588.00(13.13),46.30(1.20),37.12(1.53),41.91(0.74),46.20(1.20),4.24(0.06)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",583.60(10.99),46.70(1.00),37.52(1.35),42.09(0.74),46.60(1.00),4.25(0.07)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",583.80(8.01),46.68(0.73),38.98(1.54),42.91(0.95),46.59(0.73),4.25(0.04)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",579.80(12.30),47.05(1.12),40.03(1.61),43.58(0.97),46.96(1.12),4.18(0.07)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",582.60(11.55),46.79(1.05),41.29(1.64),44.32(1.01),46.71(1.05),4.15(0.03)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",558.20(1.64),49.02(0.15),34.58(0.43),41.27(0.19),48.91(0.15),16.78(0.37)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",555.80(2.77),49.24(0.25),34.81(0.40),41.52(0.25),49.13(0.25),16.22(0.20)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",560.60(4.16),48.80(0.38),36.18(0.42),41.98(0.34),48.69(0.38),16.22(0.20)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",561.60(4.72),48.71(0.43),37.15(0.46),42.36(0.38),48.60(0.43),16.26(0.12)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",564.00(6.71),48.49(0.61),38.48(0.46),42.91(0.44),48.39(0.61),16.25(0.17)
